,0
253,". 내 이름의 만족도 좋은데, 정시 해야될 것만 같은 그런 느낌이 들어. . 좋아하는 계절과 그 이유 가을이 좋아 시원하잖아! 뭐 당연한 걸 물어보니! . 자부심을 느끼는 것 한 가지 난 재밌어 . 좌우명 또는... "
254,그것을 그대로 들고 와서 예능으로 만들었으니 결국은 작가들의 아이디어가 아니라는 거죠. 누구의 아이디어도 아니라는 거겠죠. 맨 처음 자기 자신이 만들어 먹은 편의점 음식 레시피가 어느 순간 어떤... 
255,소재 고갈 아이디어 고갈 나의 현재상태이다. 요즘 블로그에 미쳐 책 읽고 드라마 보는 시간이 줄다 보니 더 그런 거 같다. 책을 읽고 드라마를 보다 보면 정말 이런저런 소재와 아이디어들이 쏟아질 때가... 
256,음... 요즘 아이디어가 고갈되어 소설도 못 쓰고 잡담만 할것같아요 아이디어 고갈문제도 있지만 제가 요즘 피곤해서 계속 잡담만 하고 다음주 부터 소설 쓸게요!!
257,대체 다른 분들은 하원 후에 어떻게 놀아주는지...넘 궁금 하원하고 뭐하고 시간을 보내야하는지 매일의 고민이다 오늘은 아파트 뒤 남산을 가려고 했는데... 사진 속 무당벌레를 찾아보세요 아이스크림이 먹고... 
258,"개씩 아이디어를 생각해 분 이내에 기입한다는 조건 때문에 ,, 기법으로도 불리웁니다. . 색... 일종의 아이디어 창출의 체크리스트를 통해 다양한 발상을 할 수 있도록 돕습니다. .... "
259,지난 롤에 이어 백빈건널목에서 찍은 사진들로 시작- 사진 찍을 때마다 느끼는 부분이지만 해가 적당히 질 때의 노르스름한 색감은 코닥 골드와 딱 어울리는 것 같다 사진 결과물도 분위기 있게 나와서 내가... 
260,"아직도 아이디어 고갈로 인해 골머리를 썩고 계신가요? &quot;일포스팅에 쓸 주제가 없어&quot; &quot;나는 원래 안되는 X인가봐!!!&quot; 이런 고민 해보신 적 있으시죠?! 또, 막상 자리잡고 앉아서 아이디어를 짜내려고 하니 머리만... "
261,"# 책 읽는 남자는 섹시하다. https:www.instagram.comhotdudesreading • 좋아하는(?) 인스타그램 페이지임미다. 책 말고도 커피 마시는 남자 페이지도 있는데, 그건 너무 작위적이여서 별로. 책, 책, 책을... "
262,내가 할 일은 하루도 거르지 않고 생각하는 일에 기꺼이 몰두 하는 것입니다. 내가 생각을 멈추지 않는한 아이디어는 절대로 고갈되지 않습니다. 자신을 소모시키지 않고 활활 태워 보십시오.
263,요즘도 !!! 역시나 칩거중 입니다 ...^^ 놀러나가고싶다 그래도 냉장고가 드디어 온 덕분에 집에서 이것저것 요리해먹고 있다. 요리하고 설거지하고 청소하고 낮잠자고 요리하고 설거지하고 잠드는 초 여유로운... 
264,이젠 아이디어가 고갈된듯.... 대충 만들었는데... 누구한테 주기가 좀 민망스럽다. 옆에 있는 tag은 target의 불코너에서 건진 스티커를 이용해서 살짝 변형시킨것.
265,"아이디어는 둘째치고 체력이 바닥을 치고 있는 하루하루 아... 눈도 잘 안보이고... &lt;자녀축복기도문&gt; 시리즈였는데, 이번 작업은 기존 작업이 있어서 대체로 수월하게 한것 같다. 시리즈는.. 이래서 참 좋아.... "
266,으아~ 진짜 아이디어가 고갈되고 있다. 디자인을 약 년간 제대로 하지 않있더니 저 세상 감이 된 것 같아!!! 아이디어가 고갈된 디자이너를 위한 책 저자 스티븐 헬러게일 앤더슨 출판 더숲 발매 ...... 
267,하이루 방가방가~~ 이제 본격적으로 알바 두탕 뛰어서 주일에 한 번씩 쓸 만 한 내용이 없다... .. 접시물에 코박은 연진이. 이날도 연진이 내려가기 전에 스파게티 스토리 !! 저번에도 먹었던 치킨도리아와... 
268,"아이디어 없음 룰이건 메타건 너무 ㅈ같아서 제대로 안해서 그런듯 오즈의마법사보고 뇌가 비어버린 느낌 DLC 풀려도 또 븅신같은 비트다운 메타될거 같은데 슬슬 좀 지친다 세대처럼 이제 수비플,사이클은... "
269,라스 취향대로 옷입은 글러트니 엉엉
270,아이디어가 고갈 됐다. 영감이 잘 떠오르지 않는다. 큰일이다. 책 많이 읽어야겠다.
271,#블챌 #오늘일기 고양이랑 아이컨택하고 싶었는데 밥 먹는다고 나는 안쳐다보더라 괜찮아 상처 안 받았어 그 언니네 마카롱 갔는데 사장님은 사실 언니가 아니라 오빠(?) 음 아니 아저씨 였어 근데 저거... 
272,"머리가 점점 나빠지고 있나. 교과서 외 지문을 ~% 섞어서 수능 스탈로 출제하기로 했는데, 왜 이렇게 문제 내기가 어려운거야... ㅜㅠ 시면 쿨쿨 자던 내가, 지금 취침 시간을 시간 분이나 건너 뛰어서... "
273,이런식이라 어차피 어른음식은 매운걸 좋아해서 아이 음식을 같이 차릴수 없음..ㅋㅋㅋㅋ . . 유아반찬 삼시세끼 차리셔야하는분들! 유아식반찬 아이디어 고갈되신분들! 한번쯤 참고해서 보시면 좋을거 같아요!
274,제목그대로다. 블로그 소재가 고갈되었다ㅠㅠ 어서 카메라를 장만해야겠다. 핸드폰 밖에 없으니 올리기도 참 민망;;; 이제 방문자수도 명이 훌쩍넘는데 사진이라도 제대로 올려야 유지할 수 있을 것 같다.
275,"저는 일을 하다가 창의적인 아이디어가 떠오르지 않을때 멍때리기를 합니다. 생각을 비워내는거죠. 머릿속에 있던 좋지 않은 아이디어를 지우고, 새로운 아이디어가 떠오르는 좋은 방법인 것 같습니다. 지워내지... "
276,아이디어가 고갈된 디자이너를 위한 책 저자 스티븐 헬러게일 앤더슨 출판 더숲 발매 ... 좋은 디자인을 보며 내가 가지고 있는 아이디어를 어떻게 표현하는 것이 효과를 극대화 할 수 있는지 생각해... 
277,집구석에 빵도서랍속에 과자도머릿속에 아이디어도사이좋게매진...ㄷㄷㄷ....ㅠ_ㅠ
278,"세계적인 거장 인에게 배우는 효과적인 일러스트레이션 아이디어 총 권의 시리즈가 있다. 책 속으로 일러스트레이션은 일정한 교육을 받으면 충분히 배울 수 있는 분야이지만, 시각적인 아이디어로... "
279,일간의 외출을 끝내고 드디어 집에서 뒹굴댔음 햄벆... 호리미야 지금 첨 봤는데 나중에 미야무라 머리 자른다는 스포(?) 밟고 우울해짐 화보고 벌써 과몰입 완료 ㅎ 시발.. 머리 왜 자르는데 미친놈아ㅠ... 
280,"‘달인’ 김병만, “아이디어 고갈? 아직 무궁무진”:clipoard_copy(document.location.href);&gt; 기사입력 -- :: [OSEN=김국화 기자]개월 동안 방송된 KBS TV ‘개그콘서트’의 장수 코너, 개그맨들도 손꼽아... "
281,블로그를 꾸미고 엘소 글 올려야하는데.. 아이디어 고갈되버렷다니..(허접해 ㅜㅜ) 누가 아이디어좀..
282,"아이디어가 너무 기발하여, 한장 남겼다. 비닐봉지가 밭에 튀어 나와있는걸 보곤, 아이가 그런다. &quot;엄마, 저 풀은 이름이 뭐예요?&quot; 이야. 아이디어, 최고!!! 난 요즘, 끌려가고 있는 중. 어쩌나. 어쩌나. 매출은... "
283,머를 만들든 아이디어가 생각 이안나군 봉황도 불이져? 불타입?인걸로아는디 전 집어늘 능력좀 아이디어 부탁 개만 말하삼
284,아이디어가 고갈되었을때 PART  -  어떤 일을 하든지 번뜩번뜩 새로운 아이디어가 떠오른다면 당신은 어떤 분야에서든 최고가 될수 있을것이다. 하지만 누구나 아이디어가 고갈되는 시기가 있기마련입니다.... 
285,매일매일 디자인을 하는 나에게 로고디자인은 디자인을 배우면서부터 늘 고민하는 것 중의 하나였다. 기업의 Identity를 나타내는 로고디자인은 단순해보이지만 결코 만만하지는 않은 작업이다. 이번에 이... 
286,"각종 먹거리를 섭렵하며 프로그램의 인기를 견인해온 출연자임을 감안하더라도 별 다른 고민 없이 예전에 해왔던 수단을 다시 활용하는 건 아이디어의 고갈, 결핍이라 봐도 무방하지 않을까? 이렇다보니 심혈을... "
287,특히 말주변.. 제가 생각할때에도 아이디어를 얻으려면 어떻게 해야할까 고민을 많이 하는 편이기두 하구요.. 중요한 점은 영상편집할때 아이디어는 매우 직관적인 방법으로 적용이 되거든요..;
288,꼭 해야하는 건 아니지만 뮈할지 주제추천 받아요
289,아이디어가 고갈되었을때 마지막입니다.  . 예상하지 못할 만한 것들을 기대하라. 순간순간 우리 눈앞에 스쳐지나가는 것들이 있습니다. 이런 일들을 캐취하는것도 능력이라고 생각되네요. 광고천재... 
290,아이디어 추천 받습니다 혹시 평소에 필요했던 스크립트나 만들어보고 싶었던 스크립트가 있다면 댓글을 남겨주시거나 https:open.kakao.comogzsQkIc 또는 pvwvq#로 연락주세요
291,
292,zarnes님 저도 이제 아이디어가 고갈났어요ㅠ 배경을 좋게는 만들었는데 장애물을ㅠ
293,뇌를 안쓴지 너무 오래돼서 아이디어가 떠오르지 않는 돌 머리가 되어버렸어요 머리가 굳는 다는 느낌이 이런 느낌인지 지금에서야 깨닫는 중이에요 친구들이나 주변 사람들 보면 다들 어렸을 때 공부 열심히... 
294,오늘일기를 깜박할 뻔 했다. 아까까지는 기억하고 있었는데 순간 잊어버렸다. 알려줘서 고마웡~! 늘 똑같은 일상을 반복하다보니 어떤 일기를 써야할지 모르겠다. 어떤 일기를 썼으면 좋겠는지 이웃분들 댓글... 
295,#블챌 #오늘일기 귀여운 쿠키 오늘은 누이 포토존을 만드려고 아크릴을 잘랐어요 재료들 불에 지져서 (이렇게 두꺼운건 비추) 구멍을 여러개 냅니다 세개 달았는데 이런느낌... 음... 일단 계속 해보겠슈
296,모든 디자이너는 본질적으로 시각적 유희꾼들이다 시각적 유희는 하나의 이미지에 두가지 이상의 의미를 담는다. -아이디어가 고갈된 디자이너를 위한 책 -그래픽편중-
297,년월일블로그씨질문 당신이블로그에쓴이름과별명은무엇입니까?이상한의미와재미있는 에피소드가포함되어있습니까?알고 싶어요~&gt;ㅁ&lt; 년월일블로그씨질문 매일다른질문을한다는... 
298,아무리 생각하려 해도 아무런 생각이 나질 않는 그저 머릿속은 멍~하니 자고 있는 고양이가 부러울 뿐 [로호 일러스트] home : www.studiorojo.net instagram : www.instagram.com... 
299,디자이너들은 디자인작업을 하다보면 아이디어의 고갈을 많이 느끼곤 한다. 그럴 때 해보는 것 중 하나가 다시 기본에 충실하기. 쉬우면서도 늘상 잊어버리게 되는 기본... 실내디자인을 처음... 
300,"http:naver.mexLawiV 조선일보 [Mint] 육아 비용이 행복감보다 크면 안낳죠, 결국 경제성장의 핵심인 아이디어도 고갈 입력... 오전 : 김신영 기자 경제학자처럼 생각하기: 인구 감소와 ‘비어버린 행성’... "
301,"아이디어 발상법 마상, 침상, 측상 부단히 노력했지만 여전히 아이디어 고갈에 시달리시나요? 문제점은 무엇일까요? 차근차근 생각하고 고민해봐도 답이 나오질 않나요? 책상 위에만 앉아서 좋은... "
302,"더숲아이디어가 고갈된 디자이너를 위한 책: 타이포그래피 편 도서명:아이디어가 고갈된 디자이너를 위한 책: 타이포그래피 편 저자출판사:스티븐 헬러 , 게일 앤더슨더숲 쪽수:쪽 출판일:년 월... "
303,"이 글은 블로그, 유튜브, 인스타그램 컨텐츠의 아이디어 고갈로 고통받는 분들 위해 썼다. 처음엔 마르지 않을 것 같았던 창작의 샘이 서서히 말라가는 경험, 쥐어짜서 컨텐츠를 만들어보지만 재미도 없고... "
304,"결론은 재탕이구나아아... 여러분들 새해 복 많이 받으세요(꾸벅) 세뱃돈 많이들 받으셨나요? 전 시댁이랑 친정에서 받았습니다요 헤헷 이번 연휴는 짧아서 어디가기도 애매하고, 사실...이제 결혼해서 시댁으로... "
305,뭐그리지..
306,(글번호 BH)[성공경영-아이디어가 고갈된 야후(Yahoo)를 살리다_말리사 메이어] (글번호 BH에서 이어짐) &lt;말리사메이어의 야후살리기에서 인용&gt; (예전에 삼성에서 네이버로 이직한 직원 한명의 코멘트가... 
307,"감기몸살로 골골 거리느라 어버이날 준비 하나도 못함ㅜ 그래서 급조한 카네이션 디퓨저, 자몽향 또 뭘해야 하지. 현금이 최고인가요."
308,오늘은 기부니가 센치한 날이니까... 우리 맘엔꽁 로고 사진을 제일먼저 투척해본다....(feat.눈물셀카..) ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ Aㅏ... 요즘 블로그에 살짝 재미들린 꽁이... 
309,"더숲아이디어가 고갈된 디자이너를 위한 책 세트 도서명:아이디어가 고갈된 디자이너를 위한 책 세트 저자출판사:스티븐 헬러 , 게일 앤더슨더숲 쪽수:쪽 출판일:년 월 일 출간... "
310,========================================= 이곳은 우리학교에서 가장 칙칙하기로 유명한 메카트로닉스 제어계측실험실이다. 오늘밤은 여기서 철야로 작업을 해야할 듯 하다ㅠ 할일은 산재해있는데 블로그 포스팅하고픈... 
311,"자급자족 개인 만족용 W.다카하시 루시나 '캉-' &quot;윽, &quot; 지난번에 한번 다쳤던 새끼손가락 부위에 정통으로 맞으며 손가락이 살짝 저려왔다. &quot;헤이헤이헤이- 브로크아ㅇ...?츳키?&quot; &quot;아, 괜찮습니다&quot; 성공에 기뻐하며... "
312,책을 즐겨 읽는 사람 손~~? 안녕하세요~! 늦은 목요일 저녁 이렇게 글을 쓰게 된 이유는..! 여러분 책을 즐겨 읽으시나요??? 저는 진---짜 책을 안 읽습니다ㅠㅠㅠㅠㅠ (책 읽는걸 별로 안 좋아하는데ㅠㅠ 책을... 
313,으앙라아러ㅏㄴㄹㄴ Shadow에서 스테이지 클리어 할시 클리어창 뜨게 하려고 하는데 이걸 어떤식으로 구현해야 할지 감이 안잡혀요 진짜 쉬운건데안ㅇ란ㅇ에에엘ㄴ에라ㅔㄴㅇ람넹람넬ㅇ
314,바로 &quot;아이디어가 고갈된 디자이너를 위한 책&quot; 입니다 총 권의 시리즈로 발간되었으며 각 권마다 주제가 달라요~ &lt;디자인 그래픽&gt; &lt;로고 디자인&gt; &lt;타이포그래피&gt; &lt;일러스트레이션&gt; 이렇게 구성되어있습니다... 
315,뭐올리지....
316,옷 갈아 입히기 놀이~~ https:cafe.naver.comdclassstudio
317,"IBM, 삼성, JP모건, 페이스북 등 쟁쟁한 기업들의 블록체인 사업 참여에도 불구하고 애플의 소식은 들리지 않는게 의문이라고 생각하던 찰나! 애플 카드 런칭 소식. 당최 애플은 언제 한국에... "
318, 그래 나다 자본주의의 노예 아앙-? 코노고라ㅏ 내가 원에 눈이멀어서 매일 일기 적는다고 이지메 스루노???!?아ㅏㅏㅏ앙???? 내 쯔꾸비 가리개나 구경하고가라 #블챌 #오늘일기
319,나의 죽음은 썬크림 제품에 대한 고민으로부터 시작되었다. 때는 분홍빛의 낙화와 동시에 하늘의 푸름이 살아나는 계절의 시작. 이제 “여름”을 준비해야하는 나는 아직 뜨거운 태양 밑에서 집으로의 걸음... 
320,교회에서 남은시간에 정신나가서 그린그림 는 아이디어가 없어서 이런그림 그렸다 카더라 아 맞다 붓 그리는거 까먹음
321,"[ 추천! ] 아이디어가 고갈되어 버린 것 같은 날, 머리에 시원한~ 생기를 충전해줄 무료 전시회 추천(잠실역 근처)! 실은 제가 블로그를 시작한 것도 내 주변의 이야기들이나 정보를 전하고 싶어서 인데요.... "
322,[네이버 블로그] [이벤트] &lt;아이디어가 고갈된 디자이너를 위한 책 - 일러스트레이션 타이포그래피 편&gt; 책 증정 이벤트 https:m.log.naver.comnv_design &lt; &gt; &lt; 필요하지
323,"초보유튜버나 아이디어가 고갈되어 가는 인미디어 운영하시는 분들께 좋은 도서가 되겠다. 그저 TV광고나 온라인광고를 무의미하게 볼 게 아니라 아래의 분석방식으로 해석하면, 일상이 공부가 될 수 있다는... "
324,&lt;이 책을 읽으면 큰 도움이 될 분들&gt; - 아이디어가 고갈 나서 정신적으로 힘드신 분 - 아이디어를 생산하는 방법이 궁금하신 분 - 번뜩이는 아이디어를 내고 싶으신 분 목차 우선 목차 페이지 수를 보면 알 수... 
325,영상을 찍으러 가고 싶었지만 마땅한 장소가 떠오르지 않아 힘들어하다 결국 나가지 않고 있다. 영상 속에 어떤 이야기를 담아내야 할지 조금 더 깊이 생각해봐야겠다. 어디로 가는지는 중요하지... 
326,실로 오랜만에 인사동을 가보았습니다 그래봐야 여년전인데 그사이 엄청 변했습니다 매장마다 화려한 황색전구의 따뜻한 조명이 거리에 활력을 주네요 처음 보는 삼층 건물엔 온갖 화려한 보물로 가득차... 
327,뭔가 쓰고싶은 건 있는데 있는ㄴ데....있긴 있는데요 못쓰겠는 그런 애매한 상태
328,세계관 하나 맹글건데 추천 키워드 주실분?
329,포토샵을 깔았는데 뭐가 뭔지를 모르겠습니다. 그리고 디자인 아이디어가 고갈되었습니다. 故 腦의 명복을 빕니다.(????)
330,이번 개인 영상과제 콘티를 드디어 완성했다 역대로 힘들었던 아이디어....
331,Mr.Blog... 겨울엔 왠지 로맨틱 코미디 영화가 끌려요. 여러분이 가장 좋아하는 로맨틱 코미디 영화는 무엇인가요? 블로그씨에게 추천해주세요. 블로그씨 질문에 답변하면 해피빈 콩 개를 드립니다. 센... 
332,있었고 아이디어 고갈되면 새로운 수업을 배워올 수 있었던 소중한 곳.. 이번 자율연수도 진~~~짜 많이 반성하고 배우고 깨닫고 돌아왔다 그리고 나 내년에 진짜 수업 열심히하기로 다짐했다 상황탓할게 아니라... 
333,"충격적  항상 새로운 요리를 도전하려고 하다보니까 아이디어 고갈,,☹️ 이제 유튜브 둘러봐도 맛있는 거는 대충 다 해먹은 거 같다ㅠㅠ 새로운 거 없나 고민중 고민중 맛있는 거 있으면 추천 좀 해주세요... "
334,심즈 건축도 아이디어 고갈.. ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 무슨 집을 만들어야 좋을까영...ㅠ_ㅠ느어엉 뭐라도 하고싶긴한데 ㅋㅋㅋ 할게없넹
335,"어버이날 용돈, 아이디어 고갈이라구요? 용돈선물로 부모님 감동시키는 법 #어버이날선물 #어버이날용돈 #어버이날이벤트 #어버이날아이디어 © assemgniyat, 출처 Unsplash 어버이날 용돈, 아이디어 고갈이라구요?... "
336,#카메라#라이카 오늘 책을 안들고 출근을 했다. 아침에 늦게 일어난 덕에 나는 셔틀도 놓칠만큼 늦어서 뭘 챙길 정신이라는 게 없엇다. 그래도 한줄이라도 읽어야 겠다는 생각에 리디북스 월정액회원가입되어... 
337,"꾸미기 아이디어 고갈 #에어팟맥스 드디어 나만의 공간(ㅋㅋ)이 생긴 기분이야 얘두라,, 소음예민인간 드디어 자유로워 Thu 러쉬가기전에 칼국슈 타임 지기네 쮸 추천 #러쉬루츠 #라임바운티 샀다 러쉬... "
338,그리고 아이디어고갈 홀로새우와 후라이소녀 포스팅 댓글 일뜽~~~~ 구피님~~~~!!! 으흐흐흐 오늘 괜찮았쓩?ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 아아아~~~~~~~~~~~~~~~~!!!보드라웡보드라워융~~~ !!! 글고 우리 고기 삼남매... 
339,핀터레스트를 보면 로고 제작 할 때 원고지에다가 막 도형그리고 원 그리고 하길래 로고를 그리는 법칙이 있다고 생각했었습니다 근데 제 생각보다 더 자유로운 분야였던 것 같아요 이 책 읽으니까 좀 더 사고가... 
340,이거 소설 아이디어 있으시면 좀 주세여.... 직접 써드립니다.
341,재밌는거 있으면 추천해주세요~~~~~~~~~~~~~~~~~
342,아이디어가 절대로 나오지 않습니다. 유머와 창조력은 절친한 친구 사이입니다. 그러므로 일할 때 재미가 없다면 인생을 낭비하고 있는 것입니다. 우선 마음을 즐겁게 하십시오. 그러면 저절로 아이디어가... 
343,
344,미술샘의 아이디어 발상법 나를 크리에이티브하게 만드는 습관 수업을 오랜 기간 수업을 하다 보면 아이디어가 고갈될 때가 있다. 그럴 때는 전시를 보거나 책을 보는데 그중 잡지들을 꽤 보고 있다. 인테리어... 
345,아... 아이디어가.... 바닥났어요.... 그래서 어제 포스팅을 못올렷는데 아이디어좀 나눠주세요.... 주문식 무기도 만듭니다
346,년도에 만든카드들 보면서 좀 더 자극받아야겠다는 생각이 들어요 랑카에서 구하기힘들었던 재료들~~ 지금 재료들이 풍부한데 왜 아이디어가 없는건지 모르겠어요^^;;
347,
348,미방은 내일 월요일이라서 슬픈 저의 얼굴입니다 ㅠ_ㅠ 선 없이 그리는것도 괜찮은데 시간이 좀 많이걸리는 (시간분초걸림 평균 그리는데 시간?) 증거물 ㅣ&lt;&lt; [][] ○○ &lt;&lt; &gt;&gt; [ 닫기 ] 저는이만 내일이... 
349,"으아~ 요즘 만화를 봐주는 사람들 취향도 워낙 넓은데 케릭터까지 많아지니.. 뭔가 하나하나가 조심스러워..! 아, 하나만 말해볼게 있는데 '오타쿠'라는 단어 의미는 알고 비판할때 사용하시나요? 궁금하길래 직접... "
350,솔직히 이때는 문 답 아이디어가 기가막히게 떨어졌는데 지금 하려니 잘 안되는..
351,"또한 내면에 자리한 아이디어 고갈에 대한 두려움, 불안한 삶에 대한 고충과 해결책 등 '아티스트로 살아간다는 것'의 의미를 크리스토프 니먼 특유의 담백하고 유머러스한 문체로 담담히 이야기 합니다.... "
352,중 되니 중보다 더 정신이 없네 으어어
353,뭔가가 번뜩이는게 없을려나...
354,"시간동안 이거 하나 만듬.... 다른 거는 다 마음에 안 들어서 갈아엎었다,,,^^* 과연 이걸로 뭘 해야할까...."
355,"챕터,챕터가 조선시대였다면?에 대한 글이나 그림 그린 것 또 제 왕국의 근황들을 쓸 예정입니다. 감사합니다."
356,경상고 사상 최강의 무기이다 무기 개그맨 박준형이 아이디어 다 고갈된 거 같음 전혀 웃기지 못하넹 박준형? 그 미술선생은 왜 치마짧은걸 지가잡아 학생부도아니면서 머리도아니고 치마를 변태같이&quot;생긴것도
357,
358,"기본적으로는 작가 지망생들을 위한 창작 아이디어를 제공하는 책입니다. 글을 쓰고 싶은데, 백지의 공포가 생생하게 체감되고, 상상력은 고갈된 것 같고, 욕구에 비해 재능은 턱없이 모자라는 것 같고, 괴물... "
359,머가리가 고갈되었음.. 지금 현재 크기의 이미지는 따로 이렇게 대문을만들지.. or 타이틀로해서 움짤식으로 또다른 타이틀을 여러개 만들지 결정중입니다. (아직) 월 일날 군대 면접본개 합격이뜨면... 
360,만들다가 중간에 놓은캐릭터만 쌓여가고 있네요 깔끔하게 완성했다!고 하려면 화장까지 완성해야하는데 메이크업 스킬이 좀 부족한게 느껴집니다. 주말에 하나 완성을 할 수 있을지.. ~! 공유하기... 
361,"망할&quot; 서수수, 클라우디를 미루다미루다 년에 쓸지경 더 문제인건 진짜 그럴수도 있음 속보임다 수수가 소재가 진짜 바닥났다고합니다 그래서 어쩌라는건진모릅니다 본론: 아이디어 고갈 분명 오늘... "
362,후.... 번과 번의 능력이 꽤 별로군요....(다시보니..) 예전 번 개체를 떠올렸습니다... 어떻게 해야할지.... 생각나는데로 만드니...흠....
363,"안녕하세요. 팩트폭격기입니다. 오늘 기사가 하나 또 떳는데요. 그 놈의 또 동인투자그룹,아르떼코인,한국미술저작권협회 제가 저격했던것들을 또 우려먹네요. 사골도 이렇게 못우려먹습니다.... "
364,뭘 올리면 좋을까아아
365,안녕하세요 마이드림카입니다 갑자기 인원이명이 되어 아이디어가 없어서 ..따로 나올수도있고요 신청 하신분들은 화부터 나옵니다 그리고 아이디어 있으신분 알려주세요~
366,가사쓰기 = 머리 빠지는 날
367,-) 센터에 오는 게 즐겁도록 다양한 프로그램 넣으려고 생각은 하는데 요즘 아이디어 고갈이라 힘들다 ㅎ... 일단 할로윈파티 생각 하고 있는데 쌤들한테 이왕 하는 거 제대로 준비해 보자고 말씀 드림 ㅎ... 
368,그들의 아이디어가 고갈되었을 때 보는 책이라고 하지만 어쩌면 그들에게는 창의적 영감을 주는 작품이 될것이고 나같은 일반인들에게는 멋진 일러스트를 구경할 수 있는 좋은 기회이자 그 작품의 방향성이나... 
369,똑같잖아&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt; 디지몬이냐&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt; 아니 것보다 처음엔 외형 자체도 뭔가 조금 차이가 있는 줄 알았더니 이제보니 색만 다른거잖아?;; '색바꾸고 넌 다른 놈' ..이건..아무리봐도... 
370,
371,"그야 아이디어 고갈은 기자 신분인 저의 가장 큰 고민거리이기도 하니까 말이지요. 자세한 내용은 닛케이 일렉트로닉스 월 일호를 읽어주시길 바라며, 특집 취재에서 한명의 유명한 아이디어맨의 이야기를... "
372,하의실종~~#타미#야 미안해~~ 이제 저걸 마무리를 어떻게할지.. 모르겠어요~~~~~
373,"공모 주제 출처 ㅣ 국립부산과학관  공모 주제  부산 세계박람회를 맞이하여 미래사회문제를 과학기술로 해결할 수 있는 아이디어 에너지 및 자원고갈 바이오매스, 풍력, 태양열 등 신재생에너지를 더... "
374,#블챌 #오늘일기 현재에 대한 고민이 많아요 숨만 쉬어도 흘러가는 세월 뭘 해야 할지 아직도 막막해요 왜냐면 나는 몸만 커 버린 어린애거든요 여전히 즐거움만 추구하고 싫어하는 것은 하지 않아요 옵치에서... 
375,현재 구상한 아이디어=한 작품을 끝내기 전까지 다른 아이디어가 떠오르지 않았으면 좋겠다.
376,도대체 얼마나 더해야하나요?!ㅋ 개정도면 많이한거 아닌가요...개중에 몇개 건질건 없겟지만;;; 그건 내잘못이지뭐ㅡㅡ;;;; 더이상 생각이안나.... 나질않아.. 다 거기서 거기자너~ 슬슬 다시 재미를 느끼기... 
377,"디자인을 읽는 방법을 알려준다. 책에 제시된 다양한 표현 기법들 중 어떤 요소들을 적용할지는 온전히 디자이너의 몫이다. 다양한 표현 기법들 중 재미있게 본 작품을 정리해보았다. Alan Fletcher,... "
378,"일에 대한 아이디어가 고갈 됐다면 ….. 처리해야 할 일이 산더미다. 매일 계속되는 야근에 주말 출근으로 두통, 만성피로, 변비... 내 몸의 각종 기관들이 투쟁중이다. 이럴 땐 점심시간 딱 분만 근처... "
379,캐나다무스(캐나다구스짭) 호랑말코...(?) ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 등등 ㅋㅋ무스랑 캐나다 둘다 뭔가 연관있는 이름이어야 될 것 같구 ..아이고ㅋㅋㅋㅋ 아무리 생각해도 아이디어 고갈 !
380,"생각나는대로 적어볼테니, 저처럼 데이트 아이디어 고갈된 분들 참고하세요, 커플끼리 해볼만한 스포츠 액티비티 양궁 볼링 - 저녁밤시간에 가면 음악 틀어놓고 조명도 은은하게 해둠 아이스... "
381,메모게시판&gt;질문게시판으로 가서 원하는 것을 말한다&gt;맞춤형스토리제공. 때론 되는스토리 때론 말안되는스토리 추가로 이런 장르는 안받겠습니다. 로맨틱스토리(꺼져) 애매한 것은 코믹스토리인데 코믹에 대해... 
382,창의장벽 극복 전략을 밝힘으로써 그들도 아이디어 고갈로 힘들어한다는 사실을 인정한 셈이 되게끔 하려는꼼수가 숨어 있었다. _ 쪽 아이디어를 내는 것을 직업적으로 삼는 크리에이터들은 늘 새롭고... 
383,최근 게임을 안하고있어서 머가리가 굴러가질 않는다.
384,뭘 쓰라구??
385,뭐 그릴지 추천 해주세요 ㅠㅠ
386,네오플은 이제 아이디어가 고갈되었다?? 현재 던파의 업데이트 상황을 보면.. 운영자분들은 캐릭터 벨런스만 찾으시네요.. 덤으로.. 봉인된 자물쇠도.. 네... 아마.. 예전에 나왔던거 같은데요.. 세리아가 파는... 
387,칠백 축축스~
388,참신한 만우절 드립이 생각나지않는다
389,으어어어..... 생각날때까지 안나올듯 하군요... 리메이크나 올려야 겠습니다...
390,ㅇ(-( 뭐 그리지
