,0
24,"ㅡㅡㅡㅡㅡㅡ 요즘 tv 미디어, 대기업들은 아이디어가 고갈되었고 썩어빠졌다. 영상과 상품들이 전부~ 유튜브, 인스타, 트위터에서 본것들이다. ㅡㅡㅡㅡㅡㅡㅡㅡ 개인꺼 그대로~ 배껴쓰는~ 요즘 ~~~~ 영상과... "
25,"#일러스트레이터 #독서 #책추천 아이디어가 고갈된 디자이너를 위한 책 저자 스티븐 헬러, 게일 앤더슨 출판 더숲 발매 ... 여러 기법과 방식으로 만들어진 작품을 하나씩 소개하며 짤막하게 읽을 수 있다... "
26,저번주는 행사가 있어서 너무 힘들었다 월요일까지 일 근무했는데 일동안 마감이었다 너무 힘들어 기절할거같아  행사 마지막 날 아침에 일어나기 너무 힘들었다 그리고 날씨도 너무 추웠음 전날 비 와서... 
27,네..... 일요일도 우리 복숭아 작업을 했는데 박스를 개정도 가뿐히 접었답니다? 네 쉬워요. 준비물 동태눈+노래 이게 누가 이런거 했어 말도 안돼. 가사 쓴거지? 거짓말이라고해줘 누구 재능 놓친거자나. 시골... 
28,말 많은 일기로 컴백  할머니 할아버지랑 올공 너무 더웠는데 날씨 너무 좋았다 태국음식점 갔는데 블루리본 잔뜩이었고 이 매콤돼지고기볶음에 밥이랑 튀긴 후라이랑 먹는거.. 최고맛있엏다  에버랜드 오후권... 
29,우리 집 고양이들의 일상을 고발합니다 이름 : 봄 나이 : 살 취미 : 잠자기 특기 : 잠자기 눈 뜨면 하는 일 : 밥 줄때까지 몸통박치기 하면서 애교부리기 밥 먹으면 하는 일 : 다시 잠자기 이름 : 깜 나이 : 살 취미... 
30,"아이디어가 고갈되었는지 뭘 써야 한다는 생각이 안 든다. 아니, 정확히는 쓰고 싶지가 않다. 장소가 정해진 터라 생각의 폭이 좁아진 걸까. 전에는 어떻게 썼더라. 가볍고도 자유로이 쓴 기억이 나는데. 아무래도... "
31,이번주 블챌입니당 이거 마켓컬리에서 파는 끼리찰떡뭐시기인데 저거 껍데기가 두겹인게 넘 웃겨서 찍어놈. 별 게 다 웃긴 시험기간의 대학생. 축복이누나가 알려준 스타벅스 글레이즈드 라떼? 그거 끝나기... 
32,하아이이 오늘은 블챌 쓰는 화요일이구만요 ㅎ 요즘 사진도 많이 안찍고..ㅠㅠ 딱히 올릴 사진이 죄다 음식밖에 없네융 고고띵 퇴근하고 오랜만에 고기만둥 만났당당당당 백만년만에 보는 느낌ㅋㅋ... 
33,한동안 학교에서 루종일 이것만 했는데.. 드디어 을 성공했어요 (근데 사실.. 전에도 몇 번 성공한 것 같은데 try again 보고 계속 다시 한 듯.. 씨*) 아직도 전 김한빈 중독잉에요.. 한빈오빠가 만든 노래 듣고... 
